,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z
17163,QSO,3.621818,5.327137,4.418384,0.1377933,1.526711,24.23085,21.71531,20.68027,20.63374,20.48966
212550,QSO,2.314199,15.95142,21.99104,6.360147,12.91078,20.72006,19.89082,20.10267,19.83119,19.50389
782251,STAR,0.000277723,205.5257,209.927,124.675,175.3646,17.72258,16.49562,16.46092,16.47934,16.50565
790355,STAR,-0.0004576471,98.505,100.0945,24.0431,61.07145,18.93298,17.99506,17.66773,17.51998,17.47651
654131,STAR,0.0001266797,5.427189,5.017001,2.176249,4.301528,21.67227,20.73138,20.56043,20.49711,20.63308
474874,QSO,2.414033,2.524888,3.720157,0.9997782,1.626035,22.61041,22.10152,21.94488,21.69611,22.26239
750606,STAR,-3.836985e-06,14.48261,26.1104,0.2369308,1.262402,24.65774,22.11291,20.66178,19.58395,19.01132
423279,QSO,2.080107,3.392133,4.139221,2.385125,2.36599,21.25664,20.89061,20.70999,20.60846,20.85949
987759,STAR,-0.0006393313,7.402048,7.501173,2.119479,4.868519,21.40667,20.63857,20.4032,20.32614,20.32461
875687,STAR,-0.0002664633,572.7009,578.8657,160.8026,331.4116,17.25743,16.22878,15.83917,15.65362,15.6131
9673,QSO,0.2402315,605.9679,625.7819,579.8658,521.1417,15.84126,15.83587,15.81756,15.52784,15.56928
1484680,GALAXY,0.5495704,9.624331,15.34336,-0.12185,0.516055,26.23534,21.89757,20.37243,19.33699,18.8762
1283670,GALAXY,0.5103357,4.940252,7.577018,0.3186155,0.5743849,22.86334,21.86558,20.52842,19.57986,19.27053
1165555,GALAXY,0.2086069,66.71769,87.43932,6.988478,15.47717,19.75688,18.30367,17.32284,16.86606,16.52969
1050101,GALAXY,0.456377,8.949635,13.48345,0.1517162,0.9254394,24.37989,22.16001,20.3905,19.48792,18.95215
1084817,GALAXY,0.1854908,14.62439,19.51773,1.609056,3.588432,20.84231,19.77133,18.97758,18.50824,18.20362
1373012,GALAXY,0.1552642,93.02881,111.1246,18.35229,33.26027,19.05058,17.85485,17.16459,16.77174,16.49932
624497,STAR,-0.0002918559,8.299539,21.6692,0.2990876,1.234708,22.91513,21.93021,21.18731,20.10673,19.11364
402279,QSO,0.8081203,3.583292,5.04389,1.243495,1.92646,22.58949,22.23855,22.03779,21.15873,20.64548
807275,STAR,-0.0001806966,26.05581,30.34248,2.53136,10.22662,22.28729,20.01652,19.16467,18.88853,18.76102
1454316,GALAXY,0.5349015,5.783237,9.227024,0.05175448,0.471159,25.32103,22.19634,20.69829,19.76062,19.29798
69439,QSO,3.03738,16.59126,17.4185,3.758035,11.66958,22.81718,19.64576,19.4317,19.481,19.4362
246640,QSO,2.405712,2.214226,3.007535,0.8313358,1.803697,22.2663,22.10641,21.64686,21.74827,21.01927
